fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2018/12,94.303089,99.7,49.25,79.0,77.4
2019/12,95.173006,99.5,46.99,75.9,74.2
2020/01,90.541317,99.5,36.89,100.0,100.0
2020/02,93.802659,99.5,46.02,100.0,100.0
2020/03,95.633891,99.5,38.19,100.0,100.0
2020/04,95.87008,99.5,55.93,100.0,100.0
2020/05,93.506392,99.5,51.16,100.0,100.0
2020/06,92.127258,99.5,33.59,100.0,100.0
2020/07,88.687233,99.5,37.45,100.0,100.0
2020/08,85.739635,99.5,28.82,100.0,100.0
2020/09,85.433736,99.5,37.5,100.0,100.0
2020/10,84.800245,99.5,19.02,100.0,100.0
2020/11,87.331315,99.5,11.51,100.0,100.0
2020/12,97.48686,99.5,60.95,100.0,100.0
2021/01,96.730371,99.5,42.54,100.0,100.0
2021/04,94.382674,99.5,49.15,98.3,96.7
2021/05,94.86075,99.5,50.48,100.0,100.0
2021/06,94.741963,99.5,53.89,100.0,100.0
2021/07,88.197883,99.5,34.32,100.0,100.0
2022/01,96.477295,99.6,42.96,100.0,100.0
2022/02,98.468165,99.6,61.69,100.0,100.0
2022/04,96.468096,99.6,57.35,85.3,83.3
2022/11,92.623028,99.6,55.51,98.4,96.7
2022/12,96.778667,99.6,41.75,100.0,100.0
2023/01,96.223552,99.6,49.09,96.9,93.5
2023/02,98.953888,99.6,59.27,100.0,100.0
2023/03,98.114325,99.6,65.39,100.0,100.0
2023/04,98.214353,99.6,60.65,100.0,100.0
2023/05,94.85402,99.6,46.95,100.0,100.0
2023/06,89.57816,99.6,22.56,100.0,100.0
2023/07,86.485711,99.6,29.07,100.0,100.0
2023/08,81.913561,99.6,25.31,100.0,100.0
2023/09,82.070684,99.6,18.26,100.0,100.0
2023/10,95.219143,99.6,48.62,100.0,100.0
2023/11,94.074457,99.6,50.49,100.0,100.0
2023/12,96.509546,99.6,43.08,100.0,100.0
