fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2018/12,661.96298,677.7722,643.8816,100.0,100.0
2019/01,660.847488,678.7968,638.943,100.0,100.0
2019/02,660.517679,680.7576,633.4969,100.0,100.0
2019/03,654.650445,680.8705,632.7856,100.0,100.0
2019/04,657.10291,681.0015,638.6099,100.0,100.0
2019/05,658.258757,677.1415,638.335,85.5,83.9
2019/12,661.899057,675.248,653.3265,75.9,74.2
2022/01,663.136978,670.5073,659.4266,100.0,100.0
2022/02,662.862978,669.4152,659.2809,100.0,100.0
2022/04,663.04055,670.9858,658.8278,85.3,83.3
