fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2018/12,103.509546,1246.858,0.0,100.0,100.0
2019/01,124.729123,1347.802,0.0,100.0,100.0
2019/02,84.634742,1349.881,1e-06,100.0,100.0
2019/03,101.522458,1252.711,0.0,100.0,100.0
2019/04,100.66817,1266.022,2e-06,100.0,100.0
2019/05,101.586368,1140.733,0.0,85.5,83.9
2019/12,90.358133,1203.823,2.5e-05,75.9,74.2
2020/01,129.407969,1340.908,2.1e-05,100.0,100.0
2020/02,115.204358,1290.184,2e-06,100.0,100.0
2020/03,95.457039,1374.681,0.0,100.0,100.0
2020/04,97.8541,1315.593,0.0,100.0,100.0
2020/05,114.584447,1246.388,8e-06,100.0,100.0
2020/06,124.331609,1278.654,2e-05,100.0,100.0
2020/07,107.684254,1154.275,5e-06,100.0,100.0
2020/08,178.932927,1300.356,0.0,100.0,100.0
2020/09,151.743803,1271.999,0.0,100.0,100.0
2020/10,166.02901,1416.285,0.0,100.0,100.0
2020/11,124.556679,1497.907,3e-06,100.0,100.0
2020/12,77.382652,1362.628,6e-06,100.0,100.0
2021/01,75.745451,1157.569,4e-06,100.0,100.0
2021/04,99.497064,1213.598,0.0,98.3,96.7
2021/05,108.984817,1331.503,0.0,100.0,100.0
2021/06,108.362763,1246.315,0.0,100.0,100.0
2021/07,151.311351,1245.224,0.0,100.0,100.0
2021/11,89.149098,1350.193,0.0,98.3,96.7
2021/12,100.288483,1350.145,0.0,100.0,100.0
2022/01,100.818384,1350.377,0.0,100.0,100.0
2022/02,78.010153,1344.73,0.0,100.0,100.0
2022/04,90.59788,1349.042,0.0,85.3,83.3
2022/11,108.034422,1348.96,1.2e-05,98.4,96.7
2022/12,96.282258,1351.168,0.0,100.0,100.0
2023/01,92.16313,1351.872,1e-06,96.9,93.5
2023/02,86.077689,1351.598,5e-06,100.0,100.0
2023/03,77.191957,1348.064,7e-06,100.0,100.0
2023/04,100.407915,1352.605,1e-06,100.0,100.0
2023/05,125.382909,1352.732,2e-06,100.0,100.0
2023/06,138.4599,1352.233,2e-06,100.0,100.0
2023/07,160.887523,1351.463,3e-06,100.0,100.0
2023/08,177.837231,1351.854,2e-06,100.0,100.0
2023/09,181.161149,1352.887,0.0,100.0,100.0
2023/10,123.314488,1348.605,0.0,100.0,100.0
2023/11,139.347073,1351.557,0.0,100.0,100.0
2023/12,90.641039,1351.601,4e-06,100.0,100.0
2024/01,120.326886,1352.627,2e-06,100.0,100.0
2024/02,96.789629,1351.682,0.0,99.9,100.0
2024/03,114.05778,1352.699,0.0,100.0,100.0
2024/04,97.638785,1352.758,0.0,100.0,100.0
2024/05,116.875562,1351.379,0.0,100.0,100.0
2024/06,107.352391,1260.255,0.0,100.0,100.0
2024/07,192.044818,1260.747,0.0,100.0,100.0
2024/08,191.186044,1330.741,0.0,99.9,100.0
2024/09,203.350331,1249.251,0.0,100.0,100.0
2024/10,146.299374,1352.899,0.0,100.0,100.0
2024/11,136.398335,1209.699,0.0,100.0,100.0
2024/12,84.484192,1208.899,0.0,100.0,100.0
2025/01,94.524632,1325.049,0.0,100.0,100.0
2025/02,79.89093,1236.121,0.0,100.0,100.0
2025/03,86.453329,1333.518,0.0,85.2,83.9
