fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2018/12,6.147,13.42,1.49,79.0,77.4
2019/12,6.676,17.02,1.44,75.9,74.2
2020/01,7.035,16.73,-0.98,100.0,100.0
2020/02,7.029,15.94,-0.88,100.0,100.0
2020/03,6.871,13.96,-0.01,100.0,100.0
2020/04,7.039,13.91,2.76,100.0,100.0
2020/05,7.484,15.75,2.19,100.0,100.0
2020/06,6.769,14.17,1.14,100.0,100.0
2020/07,6.507,14.43,1.74,100.0,100.0
2020/08,6.789,16.87,0.23,100.0,100.0
2020/09,6.534,15.67,0.91,100.0,100.0
2020/10,6.907,16.09,0.57,100.0,100.0
2020/11,6.123,14.01,0.25,100.0,100.0
2020/12,5.914,11.65,1.78,100.0,100.0
2021/01,5.963,15.09,1.68,100.0,100.0
2021/04,6.604,14.11,2.18,98.3,96.7
2021/05,6.727,14.54,0.69,100.0,100.0
2021/06,6.085,13.54,1.07,100.0,100.0
2021/07,6.479,16.12,0.88,100.0,100.0
2021/11,5.672,11.25,0.14,98.3,96.7
2021/12,6.46,13.48,1.47,100.0,100.0
2022/01,5.625,13.75,-0.23,100.0,100.0
2022/02,5.787,11.86,0.42,100.0,100.0
2022/04,6.228,13.48,1.32,85.3,83.3
2022/11,5.749,13.77,0.17,98.4,96.7
2022/12,5.179,11.86,0.1,100.0,100.0
2023/01,5.379,13.18,0.58,96.9,93.5
2023/02,5.968,13.63,0.8,100.0,100.0
2023/03,5.847,10.53,1.69,100.0,100.0
2023/04,6.213,12.16,2.04,100.0,100.0
2023/05,7.309,15.8,1.98,100.0,100.0
2023/06,7.053,17.41,1.39,100.0,100.0
2023/07,7.364,16.06,1.51,100.0,100.0
2023/08,7.177,17.02,-0.46,100.0,100.0
2023/09,7.219,17.87,-1.19,100.0,100.0
2023/10,6.682,15.56,0.99,100.0,100.0
2023/11,6.931,16.29,0.57,100.0,100.0
2023/12,7.143,16.63,2.45,100.0,100.0
2024/01,6.947,16.76,1.32,100.0,100.0
