fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2018/12,1.453716,5.154,0.041,227.984026,100.0,100.0
2019/01,0.571348,1.238,0.112,300.119823,100.0,100.0
2019/02,1.089566,3.308,0.0,56.746867,100.0,100.0
2019/03,1.672685,4.609,0.002,129.255119,100.0,100.0
2019/04,1.212033,4.994,0.008,57.889905,100.0,100.0
2019/05,1.411345,5.108,0.0,58.360413,85.5,83.9
2019/12,1.11114,5.601,0.038,229.645625,75.9,74.2
2020/01,1.957178,5.819,0.0,130.445191,100.0,100.0
2020/02,1.187414,4.391,0.0,230.126892,100.0,100.0
2020/03,0.971499,4.033,0.0,231.205026,100.0,100.0
2020/04,0.044,0.044,0.044,345.4,100.0,100.0
2020/05,1.67967,5.23,0.0,132.33309,100.0,100.0
2020/06,1.597694,6.488,0.033,58.931145,100.0,100.0
2020/07,1.692218,5.359,0.019,131.752718,100.0,100.0
2020/08,1.699321,4.954,0.099,227.790497,100.0,100.0
2020/10,0.826435,3.223,0.034,300.680221,100.0,100.0
2020/11,0.479457,1.085,0.004,300.892884,100.0,100.0
2020/12,0.400787,1.179,0.0,301.96383,100.0,100.0
2021/01,1.782101,7.795,0.013,94.106211,100.0,100.0
2021/04,1.779059,6.831,0.054,92.837138,98.3,96.7
2021/05,1.073464,4.592,0.0,180.519192,100.0,100.0
2021/06,1.651635,4.655,0.0,130.114105,100.0,100.0
2021/07,1.046632,4.597,0.063,297.957696,100.0,100.0
2021/11,0.493667,4.08,0.03,300.145696,98.3,96.7
2021/12,0.506745,3.29,0.0,299.029808,100.0,100.0
2022/01,1.057349,12.59,0.005,179.670624,100.0,100.0
2022/02,0.658946,5.98,0.009,178.670139,100.0,100.0
2022/04,1.051279,12.79,0.017,229.118702,85.3,83.3
2022/11,1.66731,12.1,0.009,95.768033,98.4,96.7
2022/12,0.949219,14.55,0.0,229.487615,100.0,100.0
2023/01,1.585047,10.98,0.0,94.643154,96.9,93.5
2023/02,0.895132,11.72,0.0,178.840829,100.0,100.0
2023/03,0.873031,7.5,0.0,57.175228,100.0,100.0
2023/04,1.611271,8.2,0.0,264.544088,100.0,100.0
2023/05,0.663385,5.31,0.016,302.243983,100.0,100.0
2023/06,1.587899,13.58,0.092,227.119969,100.0,100.0
2023/07,1.889668,14.79,0.078,178.86689,100.0,100.0
2023/08,1.850585,14.75,0.013,178.161762,100.0,100.0
2023/09,2.511047,14.99,0.008,91.579348,100.0,100.0
2023/10,1.676426,12.64,0.004,93.942986,100.0,100.0
2023/11,1.860875,12.95,0.059,94.632091,100.0,100.0
2023/12,0.982024,10.08,0.0,229.548011,100.0,100.0
